"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/16/2020 4 a.m. EDT",56,57,0,-56
HST,"7/16/2020 5 a.m. EDT",55,55,0,-55
HST,"7/16/2020 6 a.m. EDT",57,55,0,-57
HST,"7/16/2020 7 a.m. EDT",56,56,0,-56
HST,"7/16/2020 8 a.m. EDT",56,58,0,-56
HST,"7/16/2020 9 a.m. EDT",58,66,0,-58
HST,"7/16/2020 10 a.m. EDT",61,76,0,-61
HST,"7/16/2020 11 a.m. EDT",70,85,0,-70
HST,"7/16/2020 12 p.m. EDT",83,95,0,-83
HST,"7/16/2020 1 p.m. EDT",90,103,0,-90
HST,"7/16/2020 2 p.m. EDT",96,108,0,-96
HST,"7/16/2020 3 p.m. EDT",100,108,0,-100
HST,"7/16/2020 4 p.m. EDT",103,108,0,-103
HST,"7/16/2020 5 p.m. EDT",105,109,0,-105
HST,"7/16/2020 6 p.m. EDT",103,108,0,-103
HST,"7/16/2020 7 p.m. EDT",103,109,0,-103
HST,"7/16/2020 8 p.m. EDT",100,105,0,-100
HST,"7/16/2020 9 p.m. EDT",99,103,0,-99
HST,"7/16/2020 10 p.m. EDT",94,99,0,-94
HST,"7/16/2020 11 p.m. EDT",84,93,0,-84
HST,"7/17/2020 12 a.m. EDT",77,82,0,-77
HST,"7/17/2020 1 a.m. EDT",70,75,0,-70
HST,"7/17/2020 2 a.m. EDT",64,71,0,-64
HST,"7/17/2020 3 a.m. EDT",61,67,0,-61
HST,"7/17/2020 4 a.m. EDT",58,65,0,-58
HST,"7/17/2020 5 a.m. EDT",58,64,0,-58
HST,"7/17/2020 6 a.m. EDT",59,63,0,-59
HST,"7/17/2020 7 a.m. EDT",60,62,0,-60
HST,"7/17/2020 8 a.m. EDT",58,63,0,-58
HST,"7/17/2020 9 a.m. EDT",59,67,0,-59
HST,"7/17/2020 10 a.m. EDT",62,73,0,-62
HST,"7/17/2020 11 a.m. EDT",67,81,0,-67
HST,"7/17/2020 12 p.m. EDT",76,88,0,-76
HST,"7/17/2020 1 p.m. EDT",87,94,0,-87
HST,"7/17/2020 2 p.m. EDT",93,98,0,-93
HST,"7/17/2020 3 p.m. EDT",94,102,0,-94
